text,label,rating,helpful_vote,verified_purchase,text_clean_for_split,text_hash,split
I've had this for a little over a month now and I have NOTHING bad to say.  Gives a close shave and is VERY QUIET !!!,1,5,0,0,i've had this for a little over a month now and i have nothing bad to say. gives a close shave and is very quiet !!!,cf5b846971fd2daf9d42568196bc3933,calibration
I was expecting a better quality product.  The tool with the loop fell apart after the second strand. I had to hot glue it back together to be able to use.The second tool isn't working well the latch is loose so it tends to pull the silicone out the hair staple.The pliers are great and sturdy.,0,3,0,1,i was expecting a better quality product. the tool with the loop fell apart after the second strand. i had to hot glue it back together to be able to use.the second tool isn't working well the latch is loose so it tends to pull the silicone out the hair staple.the pliers are great and sturdy.,ac940c7a7b332076b5123ec7da005e04,calibration
These are so flexible and not good quality.,0,2,0,1,these are so flexible and not good quality.,2b255207706a39e9959904cc9f1a0b11,calibration
Good stuff,0,4,1,1,good stuff,0ee33d6346ce712e4c311ab07961690c,calibration
"My daughter uses this for her curly hair, this product makes it so easy to comb through.  She loves this product.",1,5,0,1,"my daughter uses this for her curly hair, this product makes it so easy to comb through. she loves this product.",fe603d45096a627c3244163a4d3eb264,calibration
Used it on my Granddaughters just washed hair. No tangles and no tears.,0,5,0,1,used it on my granddaughters just washed hair. no tangles and no tears.,51ccab3a0902111b2792fe983bc78471,calibration
"To be honest, I have bought this shampoo many times and this is the first time it happens. The bottle wasn’t completely closed so some shampoo had dripped. You could even see shampoo on the paper where it comes wrapped of. The thing is that I bought two, and both came in the same conditions even though they were individually wrapped. It wasn’t a lot that it dripped but still if I’m paying $28 I want a perfect product.",1,2,0,1,"to be honest, i have bought this shampoo many times and this is the first time it happens. the bottle wasn’t completely closed so some shampoo had dripped. you could even see shampoo on the paper where it comes wrapped of. the thing is that i bought two, and both came in the same conditions even though they were individually wrapped. it wasn’t a lot that it dripped but still if i’m paying $28 i want a perfect product.",ea87e455b1d93c20256e36c463df4ad0,calibration
Attached screenshot is inaccurate.,1,5,0,0,attached screenshot is inaccurate.,48a8a53b5e8e72a6448cf40d2982c303,calibration
Pretty good.,1,5,0,0,pretty good.,e260dadea06761d8912c21d87dab55dc,calibration
i orderd this thinking it would be a dupe for the door lip oil. hell nah this is so small don’t get it,0,1,0,1,i orderd this thinking it would be a dupe for the door lip oil. hell nah this is so small don’t get it,1e86a799a29bb8c36d1b0d5faee5d010,calibration
"I got this product earlier than I expected.  It smells so good, and I really like the color.  Even though I haven't tried it yet, I still think this is a good quality cream blush.  I hope Too Faced won't discontinue it.",0,5,0,1,"i got this product earlier than i expected. it smells so good, and i really like the color. even though i haven't tried it yet, i still think this is a good quality cream blush. i hope too faced won't discontinue it.",392c18dbe491657666fc6944517e7a53,calibration
Great!,1,1,0,0,great!,1044b63b806df6e4834621888b631fe5,calibration
You,1,5,0,1,you,639bae9ac6b3e1a84cebb7b403297b79,calibration
These pua's were a hit at our luau with our little girls and their parents! They are prefect for girls ages from 5-9 years old. They preformed a hula number and became a hit. I remember after our show a few little girls who didn't dance came up to me asked if they could of a pua for their hair!!<br />Thank you Youbasically for making these beautiful hair clips! I would of have paid more in shipping fees if I had real ones send from home (Hawaii)  these are the next best thing!<br />Aloha!,1,5,1,1,these pua's were a hit at our luau with our little girls and their parents! they are prefect for girls ages from 5-9 years old. they preformed a hula number and became a hit. i remember after our show a few little girls who didn't dance came up to me asked if they could of a pua for their hair!!<br />thank you youbasically for making these beautiful hair clips! i would of have paid more in shipping fees if i had real ones send from home (hawaii) these are the next best thing!<br />aloha!,80639ace598612c0226a22ea99c07903,calibration
